model,bias,rmse,error_sd,debiased_rmse,n,n_debiased,rank_raw,rank_debiased,rank_change
cma_grapes_global,-0.1647222825950295,0.8962835666711241,0.8810169132890665,0.8157035142273139,3598,3598,1,6,-5
gem_global,-0.36378428161219684,1.0758684543987629,1.0124988531461558,0.8028153056424987,3598,3598,2,4,-2
ecmwf_ifs025,-0.7717400903948539,1.096750697724576,0.7792812880062545,0.6981782405408896,3598,3598,3,1,2
gfs_seamless,-0.3246904563388968,1.1115103385431184,1.0630293223851712,0.8052311709088062,3598,3598,4,5,-1
jma_seamless,-0.6653000542636699,1.2324849563458875,1.0374945809090679,0.7994139574690433,3598,3598,5,3,2
icon_seamless,-1.2763998550789377,1.5424210565952439,0.8659481080196758,0.7323843409889114,3598,3598,6,2,4
