model,bias,rmse,error_sd,debiased_rmse,n,n_debiased,rank_raw,rank_debiased,rank_change
icon_seamless,-0.8022234574763759,1.6965042696899273,1.4948458988640947,1.4279099083534417,3598,3598,1,1,0
ecmwf_ifs025,-1.0939132851584215,1.9960153469217876,1.669560118624428,1.5432894079073003,3598,3598,2,2,0
gem_global,-0.9504446914952753,2.1411522771465745,1.918642218429067,1.7431959720785537,3598,3598,3,4,-1
gfs_seamless,-0.690105614230128,2.301287794730277,2.195376905085457,1.728936212087817,3598,3598,4,3,1
cma_grapes_global,-1.4796553640911618,2.5069996506723675,2.02377549446267,1.8150955182994717,3598,3598,5,5,0
jma_seamless,-1.571650917176209,2.5564901766575017,2.016322250505976,1.8270634849085967,3598,3598,6,6,0
