model_a,model_b,lead_days,n,mean_diff_abs_error,ci_low,ci_high,p_boot,a_is_better,b_is_better
cma_grapes_global,ecmwf_ifs025,1,3733,-0.22263921819245738,-0.2453777273217925,-0.199843101195108,0.0009995002498750624,True,False
gfs_seamless,ecmwf_ifs025,1,3733,-0.04992106542754088,-0.07282296223611284,-0.025927606242673557,0.0009995002498750624,True,False
gem_global,ecmwf_ifs025,1,3733,-0.048820532911959896,-0.06916991406824154,-0.02811966607942709,0.0009995002498750624,True,False
jma_seamless,ecmwf_ifs025,1,3733,0.12601786941402532,0.10376322171710856,0.15007460479748314,0.0009995002498750624,False,True
icon_seamless,ecmwf_ifs025,1,3733,0.41453176248289136,0.3925256131671139,0.4386275861367841,0.0009995002498750624,False,True
